,name,shorten_label,general_desc,positive_desc,negative_desc,behaviour,type,interest
0,articulative,AR,"Orang yang ahli dalam talenta articulative dapat dengan fasih dan menarik menyampaikan ide-ide mereka, memukau pendengar dengan kata-kata mereka yang hidup.","Anda memiliki kemampuan luar biasa untuk menyampaikan ide-ide dengan sangat fasih dan menarik. Kata-kata Anda yang hidup dan penuh makna selalu memukau pendengar, membuat mereka terpikat dan terinspirasi oleh apa yang Anda sampaikan. Dengan kemampuan ini, Anda mampu menyentuh hati dan pikiran orang lain, membuka cakrawala baru bagi mereka, dan menjadikan setiap percakapan sebagai pengalaman yang mendalam dan menggugah.","Anda sering kali merasa sulit untuk menyampaikan ide-ide dengan jelas dan menarik. Kata-kata Anda terkadang kurang hidup, sehingga pendengar mungkin tidak sepenuhnya terlibat atau terinspirasi oleh apa yang Anda sampaikan. Meskipun Anda memiliki banyak ide bagus, tantangannya adalah bagaimana menyampaikan mereka dengan cara yang memukau dan menggugah.","Kemampuan untuk menyampaikan ide-ide dengan fasih dan menarik, memukau pendengar dengan kata-kata yang hidup.",network,artistic
1,authoritative,AU,"Individu yang memiliki talenta authoritative memiliki kehadiran yang kuat, mampu memimpin dengan keyakinan, dan menginspirasi kepercayaan dari orang lain.","Anda memancarkan kehadiran yang kuat dan mampu memimpin dengan penuh keyakinan. Orang lain merasa terinspirasi dan percaya pada kemampuan Anda untuk membawa mereka menuju kesuksesan. Karisma dan ketegasan Anda membuat Anda menjadi sosok yang diandalkan dalam setiap situasi, menginspirasi rasa percaya diri dan rasa hormat dari orang-orang di sekitar Anda. Kepemimpinan Anda adalah contoh yang menginspirasi dan memotivasi banyak orang.","Kehadiran Anda kadang kurang kuat, dan Anda mungkin merasa kurang yakin dalam memimpin orang lain. Terkadang, orang lain mungkin tidak terinspirasi atau tidak sepenuhnya percaya pada kemampuan Anda untuk membawa mereka menuju kesuksesan. Kesulitan dalam menunjukkan ketegasan dan karisma membuat kepemimpinan Anda kurang efektif dalam beberapa situasi.","Memiliki kehadiran yang kuat, mampu memimpin dengan keyakinan, dan menginspirasi kepercayaan dari orang lain.",action,conventional
2,aversive,AV,"Mereka yang memiliki kecenderungan untuk menghindari konflik dan menciptakan lingkungan yang damai, cenderung menjadi orang yang mahir dalam talenta aversive.","Anda mahir menciptakan lingkungan yang damai dan harmonis, menghindari konflik dengan bijaksana. Kemampuan Anda untuk menciptakan suasana yang tenang dan nyaman membuat orang-orang di sekeliling Anda merasa dihargai dan dilindungi. Dengan keterampilan ini, Anda membantu membangun hubungan yang kuat dan saling menguntungkan, menciptakan lingkungan yang penuh kehangatan dan keselarasan.","Anda sering kali merasa sulit untuk menghindari konflik dan menciptakan lingkungan yang damai. Terkadang, ketidakmampuan Anda untuk menengahi dan menciptakan harmoni membuat situasi menjadi lebih tegang dan tidak nyaman bagi orang-orang di sekitar Anda. Menghindari konfrontasi bisa menjadi tantangan yang signifikan.",Cenderung menghindari konflik dan menciptakan lingkungan yang damai.,drive,investigative
3,caring,CR,"Caring individuals selalu hadir untuk memberikan dukungan emosional, membuat orang lain merasa diperhatikan dan dihargai dalam setiap situasi.",Anda selalu hadir untuk memberikan dukungan emosional yang dibutuhkan oleh orang lain. Kehadiran Anda yang penuh perhatian dan empati membuat mereka merasa diperhatikan dan dihargai dalam setiap situasi. Keterlibatan tulus Anda dalam kehidupan orang lain menunjukkan kepedulian yang mendalam dan tanpa pamrih. Anda adalah sumber penghiburan dan kekuatan bagi mereka yang membutuhkan.,"Anda mungkin merasa kurang hadir atau terlibat dalam memberikan dukungan emosional kepada orang lain. Kadang-kadang, orang lain merasa kurang diperhatikan atau dihargai dalam interaksi dengan Anda. Keterlibatan yang kurang mendalam dalam kehidupan orang lain membuat Anda terlihat kurang peduli dan empatik.","Selalu hadir untuk memberikan dukungan emosional, membuat orang lain merasa diperhatikan dan dihargai dalam setiap situasi.",network,social
4,collaborator,CO,"Collaborators unggul dalam bekerja sama dengan berbagai tipe orang, menciptakan solusi yang menguntungkan melalui kerjasama tim.","Anda unggul dalam bekerja sama dengan berbagai tipe orang. Kemampuan Anda untuk menciptakan solusi yang menguntungkan melalui kerjasama tim membuat Anda menjadi rekan yang sangat berharga. Keahlian Anda dalam membangun dan memelihara hubungan yang baik memastikan keberhasilan dalam proyek-proyek bersama. Anda adalah pemimpin tim yang luar biasa, mampu mengarahkan energi kolektif menuju tujuan bersama.","Anda sering merasa sulit untuk bekerja sama dengan berbagai tipe orang. Kemampuan Anda untuk menciptakan solusi yang menguntungkan melalui kerjasama tim mungkin tidak selalu efektif. Terkadang, kesulitan dalam membangun dan memelihara hubungan yang baik membuat proyek bersama menjadi kurang berhasil.","Unggul dalam bekerja sama dengan berbagai tipe orang, menciptakan solusi yang menguntungkan melalui kerjasama tim.",network,enterprising
5,collector,CL,"Collector memiliki kemampuan unik untuk mengumpulkan dan mengorganisir informasi atau barang yang berharga, senang belajar dan terus berkembang.","Anda memiliki kemampuan unik untuk mengumpulkan dan mengorganisir informasi atau barang yang berharga. Rasa ingin tahu yang tinggi dan semangat belajar yang tak pernah padam membuat Anda terus berkembang dan menjadi sumber pengetahuan bagi orang lain. Anda adalah seorang pengumpul informasi yang tak ternilai, selalu mencari cara untuk memperkaya diri dan orang lain dengan wawasan baru.","Anda mungkin merasa kesulitan dalam mengumpulkan dan mengorganisir informasi atau barang yang berharga. Rasa ingin tahu yang terbatas dan kurangnya semangat belajar membuat Anda kurang berkembang. Anda sering kali kesulitan menemukan cara untuk memperkaya diri dengan wawasan baru, yang menghambat pertumbuhan pribadi dan profesional Anda.",Memiliki kemampuan unik untuk mengumpulkan dan mengorganisir informasi atau barang yang berharga.,drive,investigative
6,convincing,CV,"Individu yang mampu meyakinkan orang lain tentang ide atau pandangan mereka, mempengaruhi dengan argumen yang kuat dan persuasif, menunjukkan keterampilan dalam talenta convincing.","Anda memiliki kemampuan untuk meyakinkan orang lain tentang ide atau pandangan Anda. Argumen Anda yang kuat dan persuasif membuat Anda sangat efektif dalam mempengaruhi pendapat orang lain. Dengan keterampilan ini, Anda mampu membawa perubahan positif dan memenangkan dukungan untuk ide-ide Anda. Retorika Anda yang memukau membuat orang lain tergerak untuk mengikuti visi dan rencana Anda.",Anda merasa kesulitan untuk meyakinkan orang lain tentang ide atau pandangan Anda. Argumen yang kurang kuat dan persuasif membuat Anda kurang efektif dalam mempengaruhi pendapat orang lain. Kesulitan ini sering kali menghalangi Anda untuk membawa perubahan positif dan memenangkan dukungan untuk ide-ide Anda.,"Mampu meyakinkan orang lain tentang ide atau pandangan mereka, mempengaruhi dengan argumen yang kuat dan persuasif.",network,artistic
7,courageous,CRG,"Courageous individuals tidak takut menghadapi tantangan dan mengambil risiko, menunjukkan ketabahan dan keberanian dalam menghadapi situasi apapun sebagai bagian dari talenta courageous.","Anda tidak takut menghadapi tantangan dan mengambil risiko. Ketabahan dan keberanian Anda dalam menghadapi situasi apapun menunjukkan kekuatan yang luar biasa. Keberanian Anda menginspirasi orang lain untuk menghadapi ketakutan mereka sendiri dan terus maju meski dihadapkan dengan rintangan. Anda adalah panutan dalam hal ketangguhan, selalu siap menghadapi segala kemungkinan dengan kepala tegak.",Anda mungkin merasa takut menghadapi tantangan dan mengambil risiko. Kurangnya ketabahan dan keberanian dalam menghadapi situasi apapun menunjukkan kelemahan dalam menghadapi rintangan. Keberanian yang kurang menginspirasi orang lain untuk maju dan menghadapi ketakutan mereka sendiri.,"Tidak takut menghadapi tantangan dan mengambil risiko, menunjukkan ketabahan dan keberanian dalam menghadapi situasi apapun.",network,enterprising
8,decisive,DC,"Decisive individuals memiliki kemampuan untuk membuat keputusan dengan cepat dan tepat, tanpa ragu-ragu dan dengan keyakinan, menunjukkan keberhasilan dalam talenta decisive.","Anda mampu membuat keputusan dengan cepat dan tepat, tanpa ragu-ragu. Keyakinan Anda dalam mengambil keputusan memastikan bahwa langkah-langkah yang Anda ambil selalu efektif dan efisien. Dengan kemampuan ini, Anda membantu menciptakan lingkungan yang dinamis dan proaktif. Keputusan Anda yang cepat dan tepat selalu membawa hasil yang diinginkan, menunjukkan kecakapan dan kearifan dalam setiap tindakan.",Anda sering merasa ragu-ragu dalam membuat keputusan. Kurangnya keyakinan dalam mengambil keputusan membuat Anda lamban dan tidak efektif. Keputusan yang tertunda dan tidak tepat sering kali menghambat kemajuan dan menyebabkan kerugian dalam berbagai aspek kehidupan.,Mampu beradaptasi dengan berbagai situasi dan perubahan dengan fleksibilitas dan kemudahan.,action,enterprising
9,developer,DV,"Developers terampil dalam membantu orang lain berkembang, membangun hubungan yang kuat dan penuh dukungan untuk pertumbuhan bersama, memperlihatkan keahlian dalam talenta developer.","Anda terampil dalam membantu orang lain berkembang. Hubungan yang Anda bangun penuh dengan dukungan dan dorongan untuk pertumbuhan bersama, menunjukkan keahlian Anda yang luar biasa dalam memajukan potensi orang lain. Anda adalah mentor dan pembimbing yang dicari oleh banyak orang, dengan kemampuan untuk membangun ikatan yang kuat dan menginspirasi perkembangan pribadi dan profesional.",Anda mungkin merasa kesulitan dalam membantu orang lain berkembang. Hubungan yang kurang penuh dukungan dan dorongan membuat orang lain merasa tidak terinspirasi untuk tumbuh. Kurangnya keahlian dalam membangun ikatan yang kuat dan mendukung membuat Anda kurang efektif sebagai mentor atau pembimbing.,Cenderung reflektif dan menghabiskan waktu untuk merenungkan berbagai pemikiran dan ide.,network,social
